Symbol,StockPrice,DividendYearsPaid,DivPerYearPattern,ConsistentPayer,YearlyYieldDetails,DividendAmountsPKR,ConsistencyScore,Remarks
NETSOL,143.68,"2024, 2019, 2018, 2017, 2016, 2013, 2010, 2008, 2007","1, 1, 1, 1, 1, 1, 1, 2, 1",Yes,2024: 2.09% | 2019: 1.95% | 2018: 1.74% | 2017: 1.01% | 2016: 0.35% | 2013: 0.70% | 2010: 0.87% | 2008: 2.09% | 2007: 1.53%,2024: Rs.3.00 | 2019: Rs.2.80 | 2018: Rs.2.50 | 2017: Rs.1.45 | 2016: Rs.0.50 | 2013: Rs.1.00 | 2010: Rs.1.25 | 2008: Rs.3.00 | 2007: Rs.2.20,100.0%,High consistency (100.0%): 9 years with dividends
NEXT,9.57,"2022, 2020, 2019, 2017, 2015","1, 1, 1, 1, 1",Yes,2022: 15.67% | 2020: 10.45% | 2019: 2.61% | 2017: 10.45% | 2015: 130.62%,2022: Rs.1.50 | 2020: Rs.1.00 | 2019: Rs.0.25 | 2017: Rs.1.00 | 2015: Rs.12.50,100.0%,"High consistency (100.0%): 5 years with dividends, Pattern: 1 dividends per year"
NICL,176.83,"2025, 2024, 2023, 2022, 2021, 2020, 2019","1, 2, 2, 1, 1, 2, 1",Yes,2025: 0.85% | 2024: 1.98% | 2023: 1.70% | 2022: 0.85% | 2021: 1.13% | 2020: 1.98% | 2019: 0.85%,2025: Rs.1.50 | 2024: Rs.3.50 | 2023: Rs.3.00 | 2022: Rs.1.50 | 2021: Rs.2.00 | 2020: Rs.3.50 | 2019: Rs.1.50,100.0%,Perfect consistency: 6 consecutive years
NITGETF,30.65,"2025, 2024, 2023, 2021","1, 1, 1, 1",Yes,2025: 7.60% | 2024: 0.00% | 2023: 3.05% | 2021: 2.94%,2025: Rs.2.33 | 2024: Rs.0.00 | 2023: Rs.0.93 | 2021: Rs.0.90,100.0%,"Minor gap detected but overall consistent: 3 years with dividends, Pattern: 1 dividends per year"
NML,146.49,"2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016","1, 1, 1, 1, 1, 1, 1, 1, 2",Yes,2024: 2.05% | 2023: 3.41% | 2022: 2.73% | 2021: 2.73% | 2020: 2.73% | 2019: 2.73% | 2018: 3.24% | 2017: 3.41% | 2016: 6.83%,2024: Rs.3.00 | 2023: Rs.5.00 | 2022: Rs.4.00 | 2021: Rs.4.00 | 2020: Rs.4.00 | 2019: Rs.4.00 | 2018: Rs.4.75 | 2017: Rs.5.00 | 2016: Rs.10.00,100.0%,Perfect consistency: 9 consecutive years
NONS,87.0,"2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016, 2012, 2011","1, 1, 1, 1, 1, 1, 1, 1, 1, 1",Yes,2023: 4.60% | 2022: 4.60% | 2021: 4.02% | 2020: 4.02% | 2019: 3.45% | 2018: 2.99% | 2017: 4.02% | 2016: 1.15% | 2012: 2.30% | 2011: 1.72%,2023: Rs.4.00 | 2022: Rs.4.00 | 2021: Rs.3.50 | 2020: Rs.3.50 | 2019: Rs.3.00 | 2018: Rs.2.60 | 2017: Rs.3.50 | 2016: Rs.1.00 | 2012: Rs.2.00 | 2011: Rs.1.50,100.0%,"High consistency (100.0%): 10 years with dividends, Pattern: 1 dividends per year"
NPL,37.33,"2025, 2024, 2023, 2022, 2021","1, 3, 2, 3, 1",Yes,2025: 5.36% | 2024: 24.11% | 2023: 14.73% | 2022: 17.41% | 2021: 5.36%,2025: Rs.2.00 | 2024: Rs.9.00 | 2023: Rs.5.50 | 2022: Rs.6.50 | 2021: Rs.2.00,100.0%,Perfect consistency: 4 consecutive years
NRL,230.42,"2022, 2021, 2018, 2017, 2016, 2015, 2013, 2012, 2011","1, 1, 1, 1, 1, 1, 1, 1, 2",Yes,2022: 6.51% | 2021: 4.34% | 2018: 4.34% | 2017: 9.76% | 2016: 8.68% | 2015: 4.34% | 2013: 6.51% | 2012: 6.51% | 2011: 21.70%,2022: Rs.15.00 | 2021: Rs.10.00 | 2018: Rs.10.00 | 2017: Rs.22.50 | 2016: Rs.20.00 | 2015: Rs.10.00 | 2013: Rs.15.00 | 2012: Rs.15.00 | 2011: Rs.50.00,100.0%,High consistency (100.0%): 9 years with dividends
NRSL,35.39,"2024, 2017, 2016, 2008, 2005","1, 1, 1, 1, 1",Yes,2024: 2.83% | 2017: 0.62% | 2016: 20.77% | 2008: 1.41% | 2005: 0.00%,2024: Rs.1.00 | 2017: Rs.0.22 | 2016: Rs.7.35 | 2008: Rs.0.50 | 2005: Rs.0.00,100.0%,"High consistency (100.0%): 5 years with dividends, Pattern: 1 dividends per year"
NSRM,105.73,"2017, 2013, 2010, 2005, 2004","1, 2, 1, 1, 1",Yes,2017: 0.71% | 2013: 123.90% | 2010: 0.95% | 2005: 0.00% | 2004: 1.13%,2017: Rs.0.75 | 2013: Rs.131.00 | 2010: Rs.1.00 | 2005: Rs.0.00 | 2004: Rs.1.20,100.0%,High consistency (100.0%): 5 years with dividends
OGDC,259.14,"2025, 2024, 2023, 2022","1, 4, 4, 1",Yes,2025: 1.16% | 2024: 5.04% | 2023: 3.34% | 2022: 0.87%,2025: Rs.3.00 | 2024: Rs.13.05 | 2023: Rs.8.65 | 2022: Rs.2.25,100.0%,Perfect consistency: 3 consecutive years
OLPL,42.67,"2025, 2024, 2023, 2022, 2021, 2020","1, 2, 2, 2, 2, 1",Yes,2025: 4.69% | 2024: 11.72% | 2023: 9.37% | 2022: 9.37% | 2021: 9.37% | 2020: 2.93%,2025: Rs.2.00 | 2024: Rs.5.00 | 2023: Rs.4.00 | 2022: Rs.4.00 | 2021: Rs.4.00 | 2020: Rs.1.25,100.0%,Perfect consistency: 5 consecutive years
OLPM,19.7,"2024, 2023, 2022, 2021","1, 1, 1, 1",Yes,2024: 10.15% | 2023: 10.15% | 2022: 10.15% | 2021: 14.72%,2024: Rs.2.00 | 2023: Rs.2.00 | 2022: Rs.2.00 | 2021: Rs.2.90,100.0%,"Perfect consistency: 4 consecutive years, Pattern: 1 dividends per year"
OML,43.38,"2006, 2005, 2004","1, 1, 1",Yes,2006: 92.21% | 2005: 0.00% | 2004: 0.00%,2006: Rs.40.00 | 2005: Rs.0.00 | 2004: Rs.0.00,100.0%,"Perfect consistency: 3 consecutive years, Pattern: 1 dividends per year"
ORM,10.45,"2024, 2023, 2021, 2020, 2019, 2018","1, 1, 1, 1, 1, 1",Yes,2024: 11.48% | 2023: 9.57% | 2021: 9.57% | 2020: 1.72% | 2019: 9.57% | 2018: 6.60%,2024: Rs.1.20 | 2023: Rs.1.00 | 2021: Rs.1.00 | 2020: Rs.0.18 | 2019: Rs.1.00 | 2018: Rs.0.69,100.0%,"Minor gap detected but overall consistent: 6 years with dividends, Pattern: 1 dividends per year"
OTSU,266.79,"2023, 2022, 2021, 2018, 2017, 2013, 2012, 2011, 2010, 2009","1, 1, 1, 1, 1, 1, 1, 1, 1, 1",Yes,2023: 0.56% | 2022: 0.56% | 2021: 0.56% | 2018: 0.45% | 2017: 0.37% | 2013: 0.37% | 2012: 0.37% | 2011: 0.47% | 2010: 0.56% | 2009: 0.56%,2023: Rs.1.50 | 2022: Rs.1.50 | 2021: Rs.1.50 | 2018: Rs.1.20 | 2017: Rs.1.00 | 2013: Rs.1.00 | 2012: Rs.1.00 | 2011: Rs.1.25 | 2010: Rs.1.50 | 2009: Rs.1.50,100.0%,"High consistency (100.0%): 10 years with dividends, Pattern: 1 dividends per year"
PABC,160.38,"2023, 2021","1, 1",Yes,2023: 2.18% | 2021: 0.94%,2023: Rs.3.50 | 2021: Rs.1.50,100.0%,"Minor gap detected but overall consistent: 2 years with dividends, Pattern: 1 dividends per year"
PAEL,42.49,"2022, 2017, 2016, 2015, 2014, 2013","1, 2, 2, 2, 2, 1",Yes,2022: 16.95% | 2017: 6.35% | 2016: 7.06% | 2015: 8.83% | 2014: 16.47% | 2013: 2.35%,2022: Rs.7.20 | 2017: Rs.2.70 | 2016: Rs.3.00 | 2015: Rs.3.75 | 2014: Rs.7.00 | 2013: Rs.1.00,100.0%,High consistency (100.0%): 6 years with dividends
PAKD,214.97,"2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016","1, 1, 1, 1, 1, 1, 1, 2, 1",Yes,2024: 1.63% | 2023: 4.19% | 2022: 2.79% | 2021: 0.70% | 2020: 0.47% | 2019: 1.86% | 2018: 1.40% | 2017: 1.63% | 2016: 0.47%,2024: Rs.3.50 | 2023: Rs.9.00 | 2022: Rs.6.00 | 2021: Rs.1.50 | 2020: Rs.1.00 | 2019: Rs.4.00 | 2018: Rs.3.00 | 2017: Rs.3.50 | 2016: Rs.1.00,100.0%,Perfect consistency: 9 consecutive years
PAKL,34.25,"2006, 2004","1, 1",Yes,2006: 2.92% | 2004: 2.19%,2006: Rs.1.00 | 2004: Rs.0.75,100.0%,"Minor gap detected but overall consistent: 2 years with dividends, Pattern: 1 dividends per year"
PAKOXY,221.3,"2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016","1, 1, 1, 1, 1, 2, 1, 2",Yes,2023: 0.86% | 2022: 1.13% | 2021: 1.13% | 2020: 0.90% | 2019: 0.90% | 2018: 3.16% | 2017: 2.49% | 2016: 2.26%,2023: Rs.1.90 | 2022: Rs.2.50 | 2021: Rs.2.50 | 2020: Rs.2.00 | 2019: Rs.2.00 | 2018: Rs.7.00 | 2017: Rs.5.50 | 2016: Rs.5.00,100.0%,Perfect consistency: 8 consecutive years
PAKRI,15.01,"2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015","1, 1, 1, 1, 1, 1, 1, 1, 1, 1",Yes,2024: 13.32% | 2023: 6.66% | 2022: 5.00% | 2021: 13.32% | 2020: 16.66% | 2019: 13.32% | 2018: 13.32% | 2017: 23.32% | 2016: 19.99% | 2015: 16.66%,2024: Rs.2.00 | 2023: Rs.1.00 | 2022: Rs.0.75 | 2021: Rs.2.00 | 2020: Rs.2.50 | 2019: Rs.2.00 | 2018: Rs.2.00 | 2017: Rs.3.50 | 2016: Rs.3.00 | 2015: Rs.2.50,100.0%,"Perfect consistency: 10 consecutive years, Pattern: 1 dividends per year"
PAKT,1313.32,"2025, 2024, 2023, 2022","2, 4, 2, 2",Yes,2025: 4.57% | 2024: 9.52% | 2023: 2.44% | 2022: 1.52%,2025: Rs.60.00 | 2024: Rs.125.00 | 2023: Rs.32.00 | 2022: Rs.20.00,100.0%,Perfect consistency: 3 consecutive years
PCAL,175.37,"2024, 2023, 2022, 2021, 2019, 2018","1, 2, 1, 2, 1, 3",Yes,2024: 0.57% | 2023: 1.14% | 2022: 3.71% | 2021: 5.99% | 2019: 0.57% | 2018: 4.28%,2024: Rs.1.00 | 2023: Rs.2.00 | 2022: Rs.6.50 | 2021: Rs.10.50 | 2019: Rs.1.00 | 2018: Rs.7.50,100.0%,Minor gap detected but overall consistent: 6 years with dividends
PGLC,19.78,"2024, 2023, 2022, 2020, 2019, 2018, 2017, 2016, 2015, 2009","1, 1, 1, 1, 1, 1, 1, 1, 1, 1",Yes,2024: 11.12% | 2023: 17.69% | 2022: 5.06% | 2020: 1.26% | 2019: 3.79% | 2018: 6.32% | 2017: 0.00% | 2016: 2.53% | 2015: 14.23% | 2009: 2.53%,2024: Rs.2.20 | 2023: Rs.3.50 | 2022: Rs.1.00 | 2020: Rs.0.25 | 2019: Rs.0.75 | 2018: Rs.1.25 | 2017: Rs.0.00 | 2016: Rs.0.50 | 2015: Rs.2.82 | 2009: Rs.0.50,100.0%,"High consistency (100.0%): 10 years with dividends, Pattern: 1 dividends per year"
PIBTL,10.32,"2018, 2016, 2015, 2014","1, 1, 1, 1",Yes,2018: 19.57% | 2016: 16.42% | 2015: 32.95% | 2014: 1250.00%,2018: Rs.2.02 | 2016: Rs.1.69 | 2015: Rs.3.40 | 2014: Rs.129.00,100.0%,"Minor gap detected but overall consistent: 4 years with dividends, Pattern: 1 dividends per year"
PICT,42.92,"2024, 2023, 2022, 2021, 2020","1, 1, 3, 4, 1",Yes,2024: 21.20% | 2023: 46.60% | 2022: 49.16% | 2021: 75.96% | 2020: 11.65%,2024: Rs.9.10 | 2023: Rs.20.00 | 2022: Rs.21.10 | 2021: Rs.32.60 | 2020: Rs.5.00,100.0%,Perfect consistency: 5 consecutive years
PIM,17.62,"2024, 2023, 2022, 2021, 2020, 2019","1, 1, 1, 1, 1, 1",Yes,2024: 5.68% | 2023: 2.59% | 2022: 2.12% | 2021: 2.29% | 2020: 2.29% | 2019: 1.98%,2024: Rs.1.00 | 2023: Rs.0.46 | 2022: Rs.0.37 | 2021: Rs.0.40 | 2020: Rs.0.40 | 2019: Rs.0.35,100.0%,"Perfect consistency: 6 consecutive years, Pattern: 1 dividends per year"
PINL,8.93,"2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008","1, 1, 1, 1, 1, 1, 1, 2, 1",Yes,2016: 11.20% | 2015: 11.20% | 2014: 11.20% | 2013: 22.40% | 2012: 22.40% | 2011: 22.40% | 2010: 28.00% | 2009: 44.79% | 2008: 22.40%,2016: Rs.1.00 | 2015: Rs.1.00 | 2014: Rs.1.00 | 2013: Rs.2.00 | 2012: Rs.2.00 | 2011: Rs.2.00 | 2010: Rs.2.50 | 2009: Rs.4.00 | 2008: Rs.2.00,100.0%,Perfect consistency: 9 consecutive years
PIOC,223.46,"2024, 2023, 2018, 2017, 2016, 2015, 2014, 2012","2, 1, 1, 1, 1, 2, 1, 1",Yes,2024: 6.71% | 2023: 2.24% | 2018: 1.82% | 2017: 1.50% | 2016: 1.68% | 2015: 2.91% | 2014: 1.01% | 2012: 0.96%,2024: Rs.15.00 | 2023: Rs.5.00 | 2018: Rs.4.07 | 2017: Rs.3.35 | 2016: Rs.3.75 | 2015: Rs.6.50 | 2014: Rs.2.25 | 2012: Rs.2.15,100.0%,High consistency (100.0%): 8 years with dividends
PKGI,9.0,"2024, 2016, 2015, 2014, 2012, 2011, 2010, 2009, 2007","1, 1, 1, 1, 1, 2, 1, 1, 1",Yes,2024: 8.62% | 2016: 17.78% | 2015: 8.33% | 2014: 7.41% | 2012: 27.78% | 2011: 15.66% | 2010: 11.11% | 2009: 5.56% | 2007: 5.56%,2024: Rs.0.78 | 2016: Rs.1.60 | 2015: Rs.0.75 | 2014: Rs.0.67 | 2012: Rs.2.50 | 2011: Rs.1.41 | 2010: Rs.1.00 | 2009: Rs.0.50 | 2007: Rs.0.50,100.0%,High consistency (100.0%): 9 years with dividends
PKGP,143.63,"2025, 2024, 2023, 2022, 2021, 2020","1, 3, 1, 2, 2, 1",Yes,2025: 1.39% | 2024: 4.87% | 2023: 10.44% | 2022: 2.44% | 2021: 1.39% | 2020: 0.70%,2025: Rs.2.00 | 2024: Rs.7.00 | 2023: Rs.15.00 | 2022: Rs.3.50 | 2021: Rs.2.00 | 2020: Rs.1.00,100.0%,Perfect consistency: 5 consecutive years
PKGS,637.27,"2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015","1, 1, 1, 1, 1, 1, 1, 1, 1, 1",Yes,2024: 2.35% | 2023: 4.32% | 2022: 4.32% | 2021: 4.32% | 2020: 3.53% | 2019: 1.88% | 2018: 2.35% | 2017: 4.71% | 2016: 3.92% | 2015: 2.35%,2024: Rs.15.00 | 2023: Rs.27.50 | 2022: Rs.27.50 | 2021: Rs.27.50 | 2020: Rs.22.50 | 2019: Rs.12.00 | 2018: Rs.15.00 | 2017: Rs.30.00 | 2016: Rs.25.00 | 2015: Rs.15.00,100.0%,"Perfect consistency: 10 consecutive years, Pattern: 1 dividends per year"
PMPK,1300.0,"2022, 2020, 2017, 2010, 2009, 2008, 2007","1, 1, 2, 1, 2, 2, 1",Yes,2022: 0.08% | 2020: 0.77% | 2017: 1.15% | 2010: 0.19% | 2009: 0.50% | 2008: 0.79% | 2007: 0.65%,2022: Rs.1.00 | 2020: Rs.10.00 | 2017: Rs.15.00 | 2010: Rs.2.50 | 2009: Rs.6.50 | 2008: Rs.10.25 | 2007: Rs.8.50,100.0%,High consistency (100.0%): 7 years with dividends
PMRS,323.76,"2015, 2010, 2009, 2006, 2005","1, 1, 1, 1, 4",Yes,2015: 0.62% | 2010: 0.31% | 2009: 0.00% | 2006: 0.31% | 2005: 1.85%,2015: Rs.2.00 | 2010: Rs.1.00 | 2009: Rs.0.00 | 2006: Rs.1.00 | 2005: Rs.6.00,100.0%,High consistency (100.0%): 5 years with dividends
PNSC,406.3,"2024, 2023, 2022, 2021, 2020, 2019, 2018","2, 2, 2, 1, 1, 1, 1",Yes,2024: 3.69% | 2023: 6.15% | 2022: 2.46% | 2021: 0.74% | 2020: 0.55% | 2019: 0.49% | 2018: 0.37%,2024: Rs.15.00 | 2023: Rs.25.00 | 2022: Rs.10.00 | 2021: Rs.3.00 | 2020: Rs.2.25 | 2019: Rs.2.00 | 2018: Rs.1.50,100.0%,Perfect consistency: 7 consecutive years
POL,649.45,"2024, 2023, 2022, 2021, 2020, 2019","1, 2, 2, 2, 2, 1",Yes,2024: 3.85% | 2023: 13.09% | 2022: 10.78% | 2021: 7.70% | 2020: 7.70% | 2019: 3.08%,2024: Rs.25.00 | 2023: Rs.85.00 | 2022: Rs.70.00 | 2021: Rs.50.00 | 2020: Rs.50.00 | 2019: Rs.20.00,100.0%,Perfect consistency: 6 consecutive years
POML,212.18,"2023, 2022, 2021, 2019, 2018, 2017, 2016","2, 1, 1, 2, 1, 2, 1",Yes,2023: 1.65% | 2022: 0.94% | 2021: 0.47% | 2019: 3.53% | 2018: 0.57% | 2017: 4.48% | 2016: 2.83%,2023: Rs.3.50 | 2022: Rs.2.00 | 2021: Rs.1.00 | 2019: Rs.7.50 | 2018: Rs.1.20 | 2017: Rs.9.50 | 2016: Rs.6.00,100.0%,Minor gap detected but overall consistent: 7 years with dividends
POWER,15.08,"2020, 2017, 2010, 2007, 2005, 2004","1, 1, 1, 1, 2, 1",Yes,2020: 15.25% | 2017: 107.43% | 2010: 66.31% | 2007: 39.79% | 2005: 0.00% | 2004: 6.63%,2020: Rs.2.30 | 2017: Rs.16.20 | 2010: Rs.10.00 | 2007: Rs.6.00 | 2005: Rs.0.00 | 2004: Rs.1.00,100.0%,High consistency (100.0%): 6 years with dividends
PPL,177.69,"2025, 2024, 2023, 2022, 2021","1, 4, 2, 2, 1",Yes,2025: 0.56% | 2024: 4.22% | 2023: 2.25% | 2022: 0.84% | 2021: 0.84%,2025: Rs.1.00 | 2024: Rs.7.50 | 2023: Rs.4.00 | 2022: Rs.1.50 | 2021: Rs.1.50,100.0%,Perfect consistency: 4 consecutive years
PPP,191.14,"2024, 2023, 2021, 2020, 2019, 2018, 2017","2, 1, 2, 2, 1, 1, 1",Yes,2024: 3.92% | 2023: 2.09% | 2021: 2.88% | 2020: 1.70% | 2019: 0.52% | 2018: 1.31% | 2017: 1.05%,2024: Rs.7.50 | 2023: Rs.4.00 | 2021: Rs.5.50 | 2020: Rs.3.25 | 2019: Rs.1.00 | 2018: Rs.2.50 | 2017: Rs.2.00,100.0%,Minor gap detected but overall consistent: 7 years with dividends
PREMA,39.97,"2022, 2021, 2020, 2019","1, 1, 1, 2",Yes,2022: 2.50% | 2021: 3.00% | 2020: 2.50% | 2019: 3.43%,2022: Rs.1.00 | 2021: Rs.1.20 | 2020: Rs.1.00 | 2019: Rs.1.37,100.0%,Perfect consistency: 4 consecutive years
PRET,484.26,"2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015","1, 1, 2, 1, 1, 1, 1, 1, 1",Yes,2023: 5.16% | 2022: 10.33% | 2021: 20.65% | 2020: 1.65% | 2019: 4.65% | 2018: 4.65% | 2017: 2.58% | 2016: 2.07% | 2015: 1.24%,2023: Rs.25.00 | 2022: Rs.50.00 | 2021: Rs.100.00 | 2020: Rs.8.00 | 2019: Rs.22.50 | 2018: Rs.22.50 | 2017: Rs.12.50 | 2016: Rs.10.00 | 2015: Rs.6.00,100.0%,Perfect consistency: 9 consecutive years
PRL,31.63,"2024, 2020, 2016, 2014, 2013, 2011, 2008, 2007","1, 1, 1, 1, 1, 2, 2, 1",Yes,2024: 6.32% | 2020: 31.62% | 2016: 0.98% | 2014: 252.92% | 2013: 9.01% | 2011: 9.48% | 2008: 9.78% | 2007: 10.54%,2024: Rs.2.00 | 2020: Rs.10.00 | 2016: Rs.0.31 | 2014: Rs.80.00 | 2013: Rs.2.85 | 2011: Rs.3.00 | 2008: Rs.3.09 | 2007: Rs.3.33,100.0%,High consistency (100.0%): 8 years with dividends
PRWM,60.41,"2024, 2023, 2022, 2021, 2019, 2018, 2017, 2016, 2015","1, 1, 1, 2, 1, 1, 1, 1, 1",Yes,2024: 4.14% | 2023: 4.97% | 2022: 8.28% | 2021: 16.55% | 2019: 6.62% | 2018: 3.31% | 2017: 3.31% | 2016: 2.90% | 2015: 2.48%,2024: Rs.2.50 | 2023: Rs.3.00 | 2022: Rs.5.00 | 2021: Rs.10.00 | 2019: Rs.4.00 | 2018: Rs.2.00 | 2017: Rs.2.00 | 2016: Rs.1.75 | 2015: Rs.1.50,100.0%,Minor gap detected but overall consistent: 9 years with dividends
PSEL,971.05,"2018, 2017, 2016, 2015, 2008","1, 3, 3, 2, 1",Yes,2018: 0.51% | 2017: 1.54% | 2016: 1.29% | 2015: 1.03% | 2008: 0.15%,2018: Rs.5.00 | 2017: Rs.15.00 | 2016: Rs.12.50 | 2015: Rs.10.00 | 2008: Rs.1.50,100.0%,High consistency (100.0%): 5 years with dividends
PSO,403.95,"2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017","1, 1, 1, 1, 1, 2, 2, 1",Yes,2024: 2.48% | 2023: 1.86% | 2022: 2.48% | 2021: 2.48% | 2020: 1.24% | 2019: 2.48% | 2018: 3.71% | 2017: 3.71%,2024: Rs.10.00 | 2023: Rs.7.50 | 2022: Rs.10.00 | 2021: Rs.10.00 | 2020: Rs.5.00 | 2019: Rs.10.00 | 2018: Rs.15.00 | 2017: Rs.15.00,100.0%,Perfect consistency: 8 consecutive years
PSX,30.32,"2024, 2021, 2017","1, 1, 1",Yes,2024: 3.30% | 2021: 0.66% | 2017: 0.16%,2024: Rs.1.00 | 2021: Rs.0.20 | 2017: Rs.0.05,100.0%,"High consistency (100.0%): 3 years with dividends, Pattern: 1 dividends per year"
PSYL,63.4,"2023, 2021, 2019, 2016, 2014, 2011, 2009, 2006, 2005, 2004","1, 1, 1, 1, 1, 1, 1, 1, 1, 1",Yes,2023: 7.89% | 2021: 3.94% | 2019: 7.89% | 2016: 1.58% | 2014: 1.58% | 2011: 3.15% | 2009: 1.97% | 2006: 1.58% | 2005: 0.00% | 2004: 0.00%,2023: Rs.5.00 | 2021: Rs.2.50 | 2019: Rs.5.00 | 2016: Rs.1.00 | 2014: Rs.1.00 | 2011: Rs.2.00 | 2009: Rs.1.25 | 2006: Rs.1.00 | 2005: Rs.0.00 | 2004: Rs.0.00,100.0%,"High consistency (100.0%): 10 years with dividends, Pattern: 1 dividends per year"
PTC,23.06,"2019, 2018, 2017, 2016, 2015, 2014, 2013","2, 1, 1, 1, 2, 2, 1",Yes,2019: 4.34% | 2018: 4.34% | 2017: 4.34% | 2016: 4.34% | 2015: 8.67% | 2014: 10.84% | 2013: 4.34%,2019: Rs.1.00 | 2018: Rs.1.00 | 2017: Rs.1.00 | 2016: Rs.1.00 | 2015: Rs.2.00 | 2014: Rs.2.50 | 2013: Rs.1.00,100.0%,Perfect consistency: 7 consecutive years
PTL,47.49,"2023, 2022, 2021","1, 1, 1",Yes,2023: 4.21% | 2022: 2.11% | 2021: 4.21%,2023: Rs.2.00 | 2022: Rs.1.00 | 2021: Rs.2.00,100.0%,"Perfect consistency: 3 consecutive years, Pattern: 1 dividends per year"
QUICE,7.89,"2014, 2012, 2005","1, 1, 1",Yes,2014: 32.31% | 2012: 38.02% | 2005: 0.00%,2014: Rs.2.55 | 2012: Rs.3.00 | 2005: Rs.0.00,100.0%,"High consistency (100.0%): 3 years with dividends, Pattern: 1 dividends per year"
RCML,514.87,"2024, 2023, 2022, 2021, 2019, 2018, 2017, 2016, 2015, 2014","1, 1, 1, 1, 1, 1, 1, 1, 1, 1",Yes,2024: 0.78% | 2023: 0.78% | 2022: 1.46% | 2021: 0.97% | 2019: 1.55% | 2018: 1.26% | 2017: 0.29% | 2016: 0.97% | 2015: 0.97% | 2014: 0.29%,2024: Rs.4.00 | 2023: Rs.4.00 | 2022: Rs.7.50 | 2021: Rs.5.00 | 2019: Rs.8.00 | 2018: Rs.6.50 | 2017: Rs.1.50 | 2016: Rs.5.00 | 2015: Rs.5.00 | 2014: Rs.1.50,100.0%,"Minor gap detected but overall consistent: 10 years with dividends, Pattern: 1 dividends per year"
REWM,128.55,"2022, 2021, 2019, 2018, 2017, 2016, 2014, 2013, 2012","1, 2, 1, 1, 1, 1, 1, 1, 1",Yes,2022: 3.11% | 2021: 5.83% | 2019: 2.72% | 2018: 1.75% | 2017: 1.17% | 2016: 0.39% | 2014: 1.17% | 2013: 1.56% | 2012: 0.00%,2022: Rs.4.00 | 2021: Rs.7.50 | 2019: Rs.3.50 | 2018: Rs.2.25 | 2017: Rs.1.50 | 2016: Rs.0.50 | 2014: Rs.1.50 | 2013: Rs.2.00 | 2012: Rs.0.00,100.0%,High consistency (100.0%): 9 years with dividends
RICL,12.46,"2024, 2023, 2022, 2021, 2020, 2016, 2015, 2014, 2013, 2012","1, 1, 1, 1, 1, 1, 1, 1, 1, 1",Yes,2024: 40.93% | 2023: 8.03% | 2022: 4.01% | 2021: 4.01% | 2020: 6.02% | 2016: 4.01% | 2015: 4.01% | 2014: 4.01% | 2013: 4.01% | 2012: 12.04%,2024: Rs.5.10 | 2023: Rs.1.00 | 2022: Rs.0.50 | 2021: Rs.0.50 | 2020: Rs.0.75 | 2016: Rs.0.50 | 2015: Rs.0.50 | 2014: Rs.0.50 | 2013: Rs.0.50 | 2012: Rs.1.50,100.0%,"High consistency (100.0%): 10 years with dividends, Pattern: 1 dividends per year"
RMPL,9523.4,"2025, 2024, 2023, 2022","1, 4, 4, 1",Yes,2025: 1.05% | 2024: 3.94% | 2023: 3.68% | 2022: 0.79%,2025: Rs.100.00 | 2024: Rs.375.00 | 2023: Rs.350.00 | 2022: Rs.75.00,100.0%,Perfect consistency: 3 consecutive years
RPL,19.77,"2024, 2023, 2020, 2018, 2017","1, 1, 1, 1, 1",Yes,2024: 5.06% | 2023: 5.06% | 2020: 5.06% | 2018: 10.12% | 2017: 5.06%,2024: Rs.1.00 | 2023: Rs.1.00 | 2020: Rs.1.00 | 2018: Rs.2.00 | 2017: Rs.1.00,100.0%,"High consistency (100.0%): 5 years with dividends, Pattern: 1 dividends per year"
RUPL,30.0,"2022, 2021, 2019, 2018, 2012, 2011, 2010, 2009, 2008, 2007","1, 1, 1, 1, 1, 1, 1, 1, 1, 1",Yes,2022: 16.67% | 2021: 16.67% | 2019: 3.33% | 2018: 3.33% | 2012: 3.33% | 2011: 18.33% | 2010: 13.33% | 2009: 13.33% | 2008: 10.00% | 2007: 8.33%,2022: Rs.5.00 | 2021: Rs.5.00 | 2019: Rs.1.00 | 2018: Rs.1.00 | 2012: Rs.1.00 | 2011: Rs.5.50 | 2010: Rs.4.00 | 2009: Rs.4.00 | 2008: Rs.3.00 | 2007: Rs.2.50,100.0%,"High consistency (100.0%): 10 years with dividends, Pattern: 1 dividends per year"
